marker_set,cell_type,spearman_r,p_value,n_slides
Epithelial,Lymphoid_stromal_cell,-0.6045112781954887,0.004753100824093811,20
Macrophage,Myofibroblast,-0.613533834586466,0.004013734729903665,20
Fibroblast,Epithelial_stem,-0.6187216665926915,0.003633608610248827,20
Endothelial,Transit_amplifying,-0.6189766055679304,0.0036157268487352076,20
B_plasma,Absorptive,-0.6240601503759398,0.0032741072368306203,20
Absorptive,Unconventional_T/ILC,-0.6245557443047973,0.003242288901130506,20
B_cells,Enteroendocrine,-0.625563909774436,0.0031783546111788592,20
Endothelial,Salivary/Submucosal_glands,-0.6363818982733402,0.002555769284324847,20
Macrophage,Enteroendocrine,-0.6451127819548872,0.002130692970440682,20
Macrophage,Absorptive,-0.6511278195488721,0.0018736439667456602,20
Absorptive,Cycling_T/NK,-0.6518352937302552,0.00184519565955116,20
