marker_set,cell_type,spearman_r,p_value,n_slides
B_cells,Vascular_endothelia,-0.20751879699248119,0.37999323699324694,20
Myofibroblast,Mature_B,-0.21052631578947367,0.3729699095048001,20
Pericyte,Basal,-0.2158706433217188,0.3606724868700041,20
Pericyte,Enteroendocrine,-0.21654135338345865,0.35914578257040036,20
Epithelial,Cycling_endothelia,-0.22071890133341235,0.34972046512973987,20
Endothelial,Erythrocyte,-0.22105263157894736,0.34897375430214655,20
Myofibroblast,DC,-0.2270676691729323,0.335674431013418,20
Pericyte,Epithelial_stem,-0.22706780374953453,0.33567413684443326,20
Fibroblast,Smooth_muscle,-0.23308270676691725,0.3226780250046228,20
B_cells,Secretory,-0.23458646616541348,0.3194764651496698,20
Macrophage,Epithelial_stem,-0.2384973911865916,0.31123928561580455,20
Endothelial,Basal,-0.24144416901139978,0.30511819978530746,20
Secretory,Treg,-0.2421052631578947,0.30375506301143473,20
Absorptive,Pericyte,-0.2421052631578947,0.30375506301143473,20
Myofibroblast,Conventional_CD8,-0.24661654135338343,0.2945519940720424,20
Absorptive,Keratinocyte,-0.2505955889859234,0.28657808463527135,20
Endothelial,Smooth_muscle,-0.25112781954887214,0.2855217106335981,20
Epithelial,Treg,-0.25112781954887214,0.2855217106335981,20
Endothelial,Glia,-0.2556390977443609,0.27666444989581596,20
Pericyte,Secretory,-0.2556390977443609,0.27666444989581596,20
Fibroblast,Epithelial_progenitor,-0.2568860854870015,0.27424670683532804,20
Absorptive,Neuron_progenitor,-0.26285149626910836,0.2628636126605974,20
B_cells,Intestinal_Cajal_cell,-0.2636439292846695,0.2613742851413798,20
Myofibroblast,Keratinocyte,-0.2678038697746563,0.2536435287919552,20
Endothelial,Megakaryocyte/platelet,-0.2706766917293233,0.2483905691366973,20
Secretory,Fibroblast,-0.2781954887218045,0.23497379059889353,20
Pericyte,Lymphoid_stromal_cell,-0.2781954887218045,0.23497379059889353,20
B_plasma,Epithelial_stem,-0.27964390595999716,0.2324441628865516,20
Macrophage,Intestinal_Cajal_cell,-0.28031107423944746,0.2312849313108084,20
Myofibroblast,Unconventional_T/ILC,-0.28353587894434207,0.22573465921815591,20
Fibroblast,Erythrocyte,-0.2857142857142857,0.22203494893940115,20
Pericyte,Cycling_epithelia,-0.2880585262696834,0.21809816495558781,20
Myofibroblast,Immature_B,-0.28872180451127816,0.2169926666873039,20
Absorptive,Fibroblast,-0.29323308270676685,0.2095713888030253,20
Fibroblast,Megakaryocyte/platelet,-0.30075187969924805,0.19757966317255532,20
Pericyte,Salivary/Submucosal_glands,-0.3045541941736699,0.1916936825353004,20
Secretory,Myoblast/myocyte,-0.3087352898818145,0.18535867864711664,20
Pericyte,Cycling_T/NK,-0.31110320837125816,0.1818343965674866,20
B_plasma,Salivary/Submucosal_glands,-0.3121301691531145,0.1803201391739534,20
Secretory,Pericyte,-0.31879699248120297,0.17069787214002416,20
Pericyte,Transit_amplifying,-0.3192774705119252,0.17001825473781704,20
Epithelial,Pericyte,-0.32481203007518794,0.16232315576999945,20
B_cells,Erythrocyte,-0.33383458646616543,0.15029922707342813,20
Epithelial,DC,-0.3383458646616541,0.14452609966359922,20
Endothelial,Epithelial_progenitor,-0.33914736005306373,0.14351689535241896,20
Secretory,Unconventional_T/ILC,-0.3402430547332105,0.14214525251180657,20
Fibroblast,Basal,-0.3437382717701236,0.1378312786381318,20
Endothelial,Neuron,-0.34586466165413526,0.13525234313351658,20
Myofibroblast,Conventional_CD4,-0.34736842105263155,0.13344922901624712,20
B_cells,Epithelial_stem,-0.34822143058233984,0.13243399639185963,20
Secretory,Conventional_CD4,-0.35037593984962395,0.12989410232900503,20
Epithelial,Conventional_CD4,-0.3533834586466165,0.12640665077932195,20
Secretory,DC,-0.3533834586466165,0.12640665077932195,20
Myofibroblast,Treg,-0.35488721804511275,0.12468812756013883,20
Pericyte,Cycling_endothelia,-0.35945649645727157,0.11956847804006931,20
Pericyte,Keratinocyte,-0.36029837901409595,0.11864185620407686,20
Epithelial,Monocyte,-0.3654135338345864,0.11312213950560131,20
B_plasma,Mesothelium,-0.366156921980864,0.11233561275077796,20
Secretory,Immature_B,-0.3699248120300751,0.10840956155377553,20
