metabolite,cell_type,spearman_r,p_value,n_patients
Bile acid,Mesoderm,-0.49999999999999994,0.3910022189557703,5
L-Alanine,DC,-0.5000000000000001,0.2070312499999999,8
L-Asparagine,Transit_amplifying,-0.5000000000000001,0.2070312499999999,8
Citric acid,Absorptive,-0.5000000000000001,0.2070312499999999,8
Citric acid,Microfold,-0.5000000000000001,0.2070312499999999,8
L-Asparagine,Enteroendocrine,-0.5000000000000001,0.2070312499999999,8
Fatty acid,Transit_amplifying,-0.5000000000000001,0.2070312499999999,8
L-Alanine,Cycling_T/NK,-0.51234753829798,0.19422342135999546,8
Cholesterol,Cycling_endothelia,-0.5149792926227014,0.19154931341586579,8
Cholesterol,Mature_B,-0.523809523809524,0.1827207505397148,8
L-Cysteine,NK,-0.523809523809524,0.1827207505397148,8
Cholesterol,Immature_B,-0.523809523809524,0.1827207505397148,8
Cholesterol,DC,-0.523809523809524,0.1827207505397148,8
L-Leucine,Basal,-0.523809523809524,0.1827207505397148,8
L-Alanine,Monocyte,-0.523809523809524,0.1827207505397148,8
Fatty acid,Unconventional_T/ILC,-0.5389318178609666,0.16811803527951477,8
Cholesterol,Treg,-0.5476190476190477,0.16002564253889653,8
L-Asparagine,Basal,-0.5476190476190477,0.16002564253889653,8
L-Leucine,Absorptive,-0.5476190476190477,0.16002564253889653,8
L-Leucine,Microfold,-0.5476190476190477,0.16002564253889653,8
L-Serine,NK,-0.5476190476190477,0.16002564253889653,8
L-Cysteine,Unconventional_T/ILC,-0.5509080804800991,0.1570184219978913,8
L-Serine,Cycling_T/NK,-0.5611425419454067,0.14786012226893974,8
Cholesterol,Unconventional_T/ILC,-0.5628843430992316,0.14633153260555073,8
Bile acid,Unconventional_T/ILC,-0.5642880936468347,0.3217233358243003,5
L-Asparagine,Mature_B,-0.5714285714285715,0.13895995716070672,8
L-Asparagine,Immature_B,-0.5714285714285715,0.13895995716070672,8
Cholesterol,Conventional_CD8,-0.5714285714285715,0.13895995716070672,8
Cholesterol,Conventional_CD4,-0.5714285714285715,0.13895995716070672,8
Cholesterol,Monocyte,-0.5714285714285715,0.13895995716070672,8
Fatty acid,Monocyte,-0.5714285714285715,0.13895995716070672,8
Citric acid,Smooth_muscle,-0.5714285714285715,0.13895995716070672,8
L-Cysteine,DC,-0.5714285714285715,0.13895995716070672,8
