metabolite,mean_fibrotic_minus_adjacent_z,median_fibrotic_minus_adjacent_z,std_fibrotic_minus_adjacent_z,n_patients,n_positive_patients,n_negative_patients,positive_patient_fraction
Coprocholic acid,-5.544732793978165,-2.4419265853980416,7.578037953039988,8,4,4,0.5
Deoxycholic acid,-5.544732793978165,-2.4419265853980416,7.578037953039988,8,4,4,0.5
Chenodeoxycholic acid 3-sulfate,-5.544732793978165,-2.4419265853980416,7.578037953039988,8,4,4,0.5
Varanic acid,-5.544732793978165,-2.4419265853980416,7.578037953039988,8,4,4,0.5
Ursocholic acid,-5.544732793978165,-2.4419265853980416,7.578037953039988,8,4,4,0.5
Trihydroxycoprostanoic acid,-5.544732793978165,-2.4419265853980416,7.578037953039988,8,4,4,0.5
Sulfolithocholic acid,-5.544732793978165,-2.4419265853980416,7.578037953039988,8,4,4,0.5
Ursodeoxycholic acid 3-sulfate,-5.544732793978165,-2.4419265853980416,7.578037953039988,8,4,4,0.5
Ursodeoxycholic acid,-5.544732793978165,-2.4419265853980416,7.578037953039988,8,4,4,0.5
Lithocholic acid,-5.544732793978165,-2.4419265853980416,7.578037953039988,8,4,4,0.5
Glycochenodeoxycholate-3-sulfate,-5.544732793978165,-2.4419265853980416,7.578037953039988,8,4,4,0.5
Isoursodeoxycholic acid,-5.544732793978165,-2.4419265853980416,7.578037953039988,8,4,4,0.5
Chenodeoxycholic acid,-5.544732793978165,-2.4419265853980416,7.578037953039988,8,4,4,0.5
"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",-5.544732793978165,-2.4419265853980416,7.578037953039988,8,4,4,0.5
"1b,3a,12a-Trihydroxy-5b-cholanoic acid",-5.544732793978165,-2.4419265853980416,7.578037953039988,8,4,4,0.5
Hyodeoxycholic acid,-5.544732793978165,-2.4419265853980416,7.578037953039988,8,4,4,0.5
D-Fructose,-5.607029953484,-3.317848732938786,12.001656494424095,8,4,4,0.5
Fatty acid,-5.845988130920274,-7.18358869495701,26.13153744014747,8,3,5,0.375
2-Hydroxychlorpropamide,-6.017443713419176,0.008065184982954943,15.165328832527019,8,4,4,0.5
5-Hydroxyomeprazole,-6.075679935839343,-0.9337092910883523,16.06404251312578,8,3,5,0.375
Cholesterol,-6.424470075667324,-2.0848272483757437,17.46666012164049,8,4,4,0.5
Cholic acid,-6.558298089141241,-0.897255978761379,10.793736751143914,8,3,5,0.375
Bile acid,-6.989169946064557,-0.4457176449135418,19.03996450592473,5,2,3,0.4
N-desmethylimatinib,-7.430072205515477,1.2975679119552956,16.107378575161796,8,4,4,0.5
Cortisol,-7.430072205515477,1.2975679119552956,16.107378575161796,8,4,4,0.5
