donor_id,status,annotation2v2,fraction,n_cells,bile_acid_transport_mean,ecm_remodeling_mean,epithelial_repair_mean,fatty_acid_metabolism_mean,glycolysis_mean,hypoxia_mean,inflammation_mean,oxidative_phosphorylation_mean,retinoid_vitamin_a_mean,epithelial_bile_urea_transport_mean,fibrotic_amino_acid_transport_mean
105569,N,Dendritic cell - CCR7-hi,epi,5,0.0,0.01568279,0.042769052,0.053665865,0.2692682,0.14656875,0.17976265,0.25843102,0.0019311095,0.0,0.03641194
105569,N,Dendritic cell - CCR7-hi,imu,21,0.0044765747,0.03850821,0.0034464996,0.04386674,0.3484713,0.27045763,0.2952169,0.2452031,0.0083658155,0.008207054,0.06938852
105569,N,Dendritic cell - cDC1,imu,4,0.0,0.08617112,0.0,0.035675954,0.24099743,0.14499179,0.075991884,0.2688118,0.0063668173,0.0,0.030469382
105569,N,Dendritic cell - cDC2,epi,15,0.0078484155,0.037487425,0.05935849,0.056820977,0.22240257,0.22013162,0.11860581,0.21503632,0.011847598,0.013639057,0.0929374
105569,N,Dendritic cell - cDC2,imu,19,0.0029046703,0.07262045,0.0027923256,0.064650364,0.30394435,0.26542512,0.22508721,0.25871903,0.0092183575,0.007130927,0.10110339
105569,N,Enterocyte-ANPEP-hi,epi,8,0.10061309,0.014600645,0.7875486,0.46376833,0.3303982,0.29818863,0.110442385,0.4464764,0.030315163,0.16424808,0.0053629414
105569,N,Enterocyte-ANPEP-hi,imu,1,0.08979776,0.021703806,0.76221025,0.45739487,0.4104643,0.2648873,0.1625687,0.3028949,0.06612088,0.08681522,0.04340761
105569,N,Enterocyte-mito-hi,epi,138,0.05774658,0.016441006,0.9451431,0.23124121,0.2812526,0.19370264,0.10464778,0.29007784,0.017099647,0.09609045,0.022972057
105569,N,Enterocyte-mito-hi,imu,17,0.032964546,0.022327889,0.8972531,0.16097997,0.36158866,0.22658308,0.123318955,0.3602991,0.0326244,0.060420275,0.03196807
105569,N,Enteroendocrine cells,epi,2,0.0068858825,0.0021388368,0.20173669,0.24673195,0.117902376,0.043894872,0.08398604,0.25093776,0.03573434,0.043606803,0.0042776735
105569,N,Follicular helper T cells,epi,4,0.0,0.014592411,0.07423915,0.032307707,0.1572774,0.10162076,0.12526551,0.15685035,0.0,0.0,0.0
105569,N,Follicular helper T cells,imu,10,0.0030657873,0.011780455,0.0,0.018318748,0.19376485,0.0895162,0.11917399,0.22417721,0.0030657873,0.00562061,0.06713195
105569,N,GZMB-hi B cell,epi,2,0.0,0.0,0.11600502,0.08081397,0.11997415,0.092941165,0.123286605,0.28848737,0.0,0.0,0.021097189
105569,N,GZMB-hi B cell,imu,5,0.0,0.007951659,0.008424838,0.08421685,0.18879533,0.12660295,0.0705648,0.27294886,0.0047246786,0.0,0.14578855
105569,N,GZMK-hi CD8 T cells,epi,3,0.0,0.019632379,0.118629344,0.104287505,0.28466406,0.176647,0.1272407,0.317589,0.0,0.023143351,0.073901355
105569,N,GZMK-hi CD8 T cells,imu,40,0.0,0.0075505404,0.0044563296,0.042797185,0.24671507,0.1759282,0.13823667,0.23351876,0.004100772,0.012503428,0.06650077
105569,N,Goblet cells,epi,14,0.008369889,0.017212117,1.6398679,0.16383377,0.28659493,0.16334806,0.053379666,0.36357293,0.030794753,0.012534125,0.016592415
105569,N,Goblet cells,imu,5,0.010677951,0.06600903,1.9991157,0.06882363,0.22879305,0.12892742,0.046689995,0.41164216,0.023428103,0.023599144,0.04728342
105569,N,Inflammatory fibroblasts,imu,9,0.0036579312,0.53978145,0.027789844,0.054331683,0.57177967,0.4348601,0.25801474,0.24613363,0.028704328,0.005585843,0.11646831
105569,N,Intraepithelial Tgd,epi,3,0.0,0.0,0.07411829,0.049206674,0.16364844,0.12017492,0.068339765,0.077204145,0.0,0.0,0.0
105569,N,Intraepithelial Tgd,imu,6,0.0,0.02662764,0.0,0.036038652,0.17070518,0.13241519,0.07803429,0.16542868,0.0,0.0,0.04296896
105569,N,LP-associated NK-Tgd,epi,7,0.0,0.012553707,0.18025105,0.0364995,0.18557797,0.10396911,0.16541001,0.21984601,0.00583752,0.012246375,0.04507712
105569,N,LP-associated NK-Tgd,imu,27,0.0,0.008259274,0.0027925824,0.03359908,0.21289772,0.17758569,0.20412123,0.22040378,0.004648403,0.01193438,0.11561207
105569,N,Lymphatic endothelium,epi,1,0.0,0.0,0.19555148,0.12288873,0.3740287,0.0675888,0.17514211,0.50815696,0.12366296,0.0,0.0
105569,N,Lymphatic endothelium,imu,5,0.0055980934,0.10574412,0.073363155,0.056490134,0.15817904,0.12924758,0.18054749,0.19870701,0.10712378,0.0,0.09143666
105569,N,Mast cells,epi,1,0.0,0.08192801,0.90301085,0.16316673,0.10494111,0.14691755,0.09831361,0.07562585,0.0,0.0,0.32771203
105569,N,Mast cells,imu,8,0.0,0.1200455,0.002824076,0.046040505,0.221024,0.15925384,0.3013163,0.20800419,0.046244152,0.0,0.054083165
105569,N,Mito-hi endothelium,imu,6,0.008379024,0.11956356,0.019401312,0.045614924,0.08789875,0.2120272,0.24121596,0.04580887,0.014655457,0.015361545,0.10944619
105569,N,Monocyte,epi,89,0.007989262,0.15043458,0.06809577,0.060181834,0.40243268,0.40126684,0.8249576,0.15716624,0.020484509,0.013609766,0.09231723
105569,N,Monocyte,imu,456,0.0025699434,0.13816753,0.0066838246,0.043074094,0.4164111,0.4507272,0.8307075,0.1281468,0.02406871,0.003520893,0.12157829
105569,N,Monocyte-CCL3-4-hi,epi,1,0.0,0.024573065,0.02680698,0.0,0.22113052,0.32345217,1.3974771,0.08554354,0.0,0.0,0.0
105569,N,Monocyte-CCL3-4-hi,imu,1,0.0,0.108016,0.0099325385,0.082219794,0.36038294,0.28414765,1.1573193,0.15788075,0.018885966,0.0,0.08598551
105569,N,Monocyte-FPR1-hi,epi,2,0.0,0.0,0.10191233,0.0,0.199773,0.36808133,0.34243077,0.0698424,0.0,0.0,0.0
105569,N,Monocyte-FPR1-hi,imu,1,0.0,0.15010685,0.0,0.0,0.3170764,0.3951919,0.24631102,0.1519969,0.0,0.0,0.1646633
105569,N,Monocyte-HSP-hi,epi,13,0.004315199,0.14122406,0.07724709,0.026855756,0.34718817,0.49253687,0.85033035,0.071130276,0.019852966,0.007911198,0.19483839
105569,N,Monocyte-HSP-hi,imu,43,0.0004647185,0.1243948,0.010808838,0.026793055,0.36408305,0.44101277,0.98871654,0.061106,0.015287319,0.00085198396,0.2060839
105569,N,NAMPThi-Neutrophils,epi,14,0.0041519,0.1569515,0.06023429,0.072513424,0.29994765,0.23438485,0.8215135,0.31896242,0.034349285,0.0051032715,0.08370257
105569,N,NAMPThi-Neutrophils,imu,125,0.0061155166,0.1351272,0.0045084897,0.07705036,0.27442825,0.27609882,0.7797805,0.21775572,0.030931283,0.0035145648,0.08987195
105569,N,Neutrophils,epi,327,0.0021607075,0.0072214217,0.040141348,0.0034846596,0.060151838,0.22321075,1.5251247,0.0014951128,0.0119621195,0.004258786,0.058759503
