annotation2v2,fraction,feature,normal_mean,fibrotic_mean,fibrotic_minus_normal,inflamed_mean,inflamed_minus_normal
CD63+CD81+ macrophage,imu,epithelial_repair_mean,0.028803294524550438,0.02643575146794319,-0.0023675430566072464,0.013759847730398178,-0.01504344679415226
CD63+CD81+ macrophage,imu,fatty_acid_metabolism_mean,0.07297013700008392,0.06618393212556839,-0.0067862048745155334,0.07966149598360062,0.006691358983516693
CD63+CD81+ macrophage,imu,glycolysis_mean,0.2351142317056656,0.3085838258266449,0.07346959412097931,0.2526073753833771,0.017493143677711487
CD63+CD81+ macrophage,imu,hypoxia_mean,0.16985513269901276,0.24171239137649536,0.0718572586774826,0.19762365520000458,0.02776852250099182
CD63+CD81+ macrophage,imu,inflammation_mean,0.3743526339530945,0.4548023045063019,0.0804496705532074,0.32159939408302307,-0.05275323987007141
CD63+CD81+ macrophage,imu,oxidative_phosphorylation_mean,0.2750239372253418,0.2778027057647705,0.002778768539428711,0.27713602781295776,0.002112090587615967
CD63+CD81+ macrophage,imu,retinoid_vitamin_a_mean,0.028648115694522858,0.023364372551441193,-0.005283743143081665,0.044861018657684326,0.01621290296316147
CD63+CD81+ macrophage,imu,epithelial_bile_urea_transport_mean,0.008914797566831112,0.0074919443577528,-0.001422853209078312,0.007907242514193058,-0.001007555052638054
CD63+CD81+ macrophage,imu,fibrotic_amino_acid_transport_mean,0.16250492632389069,0.16523867845535278,0.002733752131462097,0.20071104168891907,0.03820611536502838
CD69+ CD4 T cells,epi,bile_acid_transport_mean,0.0,0.0,0.0,,
CD69+ CD4 T cells,epi,ecm_remodeling_mean,0.007268368266522884,0.0,-0.007268368266522884,,
CD69+ CD4 T cells,epi,epithelial_repair_mean,0.17288753390312195,0.16008980572223663,-0.012797728180885315,,
CD69+ CD4 T cells,epi,fatty_acid_metabolism_mean,0.0,0.07186557352542877,0.07186557352542877,,
CD69+ CD4 T cells,epi,glycolysis_mean,0.17069831490516663,0.2258632481098175,0.05516493320465088,,
CD69+ CD4 T cells,epi,hypoxia_mean,0.12506088614463806,0.31620854139328003,0.19114765524864197,,
CD69+ CD4 T cells,epi,inflammation_mean,0.14802253246307373,0.0,-0.14802253246307373,,
CD69+ CD4 T cells,epi,oxidative_phosphorylation_mean,0.12974447011947632,0.24323734641075134,0.11349287629127502,,
CD69+ CD4 T cells,epi,retinoid_vitamin_a_mean,0.0,0.0,0.0,,
CD69+ CD4 T cells,epi,epithelial_bile_urea_transport_mean,0.05560890585184097,0.0,-0.05560890585184097,,
CD69+ CD4 T cells,epi,fibrotic_amino_acid_transport_mean,0.06715825945138931,0.0,-0.06715825945138931,,
CD69+ CD4 T cells,imu,bile_acid_transport_mean,0.0044639925472438335,0.0009687357232905924,-0.003495256823953241,,
CD69+ CD4 T cells,imu,ecm_remodeling_mean,0.007764649111777544,0.008308357559144497,0.0005437084473669529,,
CD69+ CD4 T cells,imu,epithelial_repair_mean,0.13089241087436676,0.10662409663200378,-0.024268314242362976,,
CD69+ CD4 T cells,imu,fatty_acid_metabolism_mean,0.021021144464612007,0.027699479833245277,0.00667833536863327,,
CD69+ CD4 T cells,imu,glycolysis_mean,0.11675194650888443,0.1265147179365158,0.009762771427631378,,
CD69+ CD4 T cells,imu,hypoxia_mean,0.10411357879638672,0.10301096737384796,-0.0011026114225387573,,
CD69+ CD4 T cells,imu,inflammation_mean,0.07077054679393768,0.08833733946084976,0.01756679266691208,,
CD69+ CD4 T cells,imu,oxidative_phosphorylation_mean,0.10581813752651215,0.12305746972560883,0.01723933219909668,,
