top_fraction,region,gene,priority,mean_fibrotic_minus_adjacent_region_expression,median_fibrotic_minus_adjacent_region_expression,n_patients,positive_patient_fraction
0.3,epithelial_bile_region,SLC1A5,False,0.03909714620809005,0.036344498959237095,8,0.75
0.3,epithelial_bile_region,SLC38A2,False,0.093247238676026,0.052620920579179276,8,0.5
0.3,epithelial_bile_region,SLC51A,True,-0.18214690998466032,-0.3294884002842643,8,0.25
0.3,epithelial_bile_region,SLC51B,True,-0.1772534363820651,-0.2349649580847014,8,0.25
0.3,epithelial_bile_region,SLC5A1,True,-0.46980122825690884,-0.37817847317448905,8,0.375
0.3,epithelial_bile_region,SLC7A5,False,0.04359107675794355,0.014524216071283498,8,0.625
0.3,epithelial_bile_region,SLCO2B1,False,0.04460166455186862,-0.004243432401271341,8,0.5
0.3,immune_inflammatory_region,ABCB1,False,-0.03604602760213135,-0.0182236473106918,8,0.375
0.3,immune_inflammatory_region,ABCC3,False,-0.012452822122450724,-0.002747079608036388,8,0.5
0.3,immune_inflammatory_region,SLC10A2,False,-0.11883845096262562,-0.04335639406519464,8,0.25
0.3,immune_inflammatory_region,SLC15A3,False,0.060105874854989694,0.05202650817956847,8,0.75
0.3,immune_inflammatory_region,SLC1A4,False,0.02778696080338084,0.03210559859217986,8,0.625
0.3,immune_inflammatory_region,SLC1A5,False,0.0158995525080906,0.0051680035114198275,8,0.5
0.3,immune_inflammatory_region,SLC38A2,False,0.07744861450728048,0.0821642560935652,8,0.75
0.3,immune_inflammatory_region,SLC51A,False,-0.049483307693403304,-0.06539899894608686,8,0.25
0.3,immune_inflammatory_region,SLC51B,False,-0.05786060483530947,-0.035045605219174075,8,0.25
0.3,immune_inflammatory_region,SLC5A1,False,-0.1514935286398056,-0.296963396802088,8,0.375
0.3,immune_inflammatory_region,SLC7A5,False,0.0413319743169055,0.029361079220586634,8,0.75
0.3,immune_inflammatory_region,SLCO2B1,True,0.0337791246105659,0.04553713725028585,8,0.625
0.3,stromal_fibrotic_region,ABCB1,False,-0.02154693026137606,-0.019358661783890913,8,0.375
