top_fraction,region,gene,mean_expression_in_region,mean_expression_outside_region,in_region_minus_outside,in_region_to_outside_ratio,n_in_region_spots,n_outside_region_spots,priority
0.1,epithelial_absorptive_region,SLC1A5,0.14180696988272748,0.1753210426819848,-0.03351407279925733,0.8088416981408867,5890,52925,False
0.1,epithelial_absorptive_region,SLC38A2,0.6053271565428209,0.7217983225974824,-0.11647116605466157,0.838637521855793,5890,52925,False
0.1,epithelial_absorptive_region,SLC51A,0.4921359677240885,0.07355730543904672,0.4185786622850418,6.690511089097698,5890,52925,True
0.1,epithelial_absorptive_region,SLC51B,0.44013385206764544,0.06539193663864018,0.37474191542900526,6.730705262635849,5890,52925,True
0.1,epithelial_absorptive_region,SLC5A1,1.5535966872966553,0.4065263035120579,1.1470703837845975,3.8216387817340203,5890,52925,True
0.1,epithelial_absorptive_region,SLC7A5,0.08075879216700134,0.08196400337642692,-0.0012052112094255857,0.9852958474479273,5890,52925,False
0.1,epithelial_absorptive_region,SLCO2B1,0.4477024725671535,0.3653451460050872,0.08235732656206629,1.2254233495712559,5890,52925,False
0.1,stromal_fibrotic_region,ABCB1,0.06745398449624536,0.1251849087232343,-0.05773092422698893,0.53883479393971,5890,52925,False
0.1,stromal_fibrotic_region,ABCC3,0.04680179978115247,0.0969593537956068,-0.050157554014454334,0.4826950464192661,5890,52925,False
0.1,stromal_fibrotic_region,SLC10A2,0.03630421279039367,0.10443674322902227,-0.0681325304386286,0.3476191584295303,5890,52925,False
0.1,stromal_fibrotic_region,SLC15A3,0.3329736887927978,0.24172038871511628,0.09125330007768154,1.3775159413020375,5890,52925,True
0.1,stromal_fibrotic_region,SLC1A4,0.0968172975327244,0.09997896636199659,-0.003161668829272185,0.9683766601684534,5890,52925,False
0.1,stromal_fibrotic_region,SLC1A5,0.22600800985998531,0.16595034593250824,0.06005766392747708,1.3619014084604708,5890,52925,False
0.1,stromal_fibrotic_region,SLC38A2,0.8666208191086967,0.6927190656770666,0.17390175343163006,1.2510422508173031,5890,52925,True
0.1,stromal_fibrotic_region,SLC51A,0.0390697370639074,0.12397884721681651,-0.08490911015290911,0.3151322821673081,5890,52925,False
